,House_Name,Location,Municipality,House_type,Release_form,Rooms,Floor,Total_no_Floors,Lift,Balcony,Living_area,Plot_area,Other_area,Built_on,Charge,Operating_cost,Sold_date,Starting_price,Price_Change,Final_Price
571,Smältverksgatan 106,Bäckby,Västerå,Lägenhet,Bostadsrätt,2,2,2,No,Yes,61.0,0.0,0.0,1951-2000,4497.0,2812.0,,0.7,-0.1,0.8
572,Stamgatan 86,Östberga,Stockholm,Lägenhet,Bostadsrätt,4,0,0,No,Yes,85.5,0.0,0.0,2011-present,6000.0,6360.0,,2.3,0.0,2.3
573,Solhagagatan 120,HisingsKärra,Göteborg,Lägenhet,Bostadsrätt,3,2,3,No,Yes,75.2,0.0,0.0,1951-2000,5675.0,6360.0,,2.25,-0.05,2.3
574,Ystadsgatan 38A,Nobeltorget,Malm,Lägenhet,Bostadsrätt,1,2,4,No,No,40.0,0.0,0.0,1900-1950,2645.0,6360.0,,1.44,0.07,1.37
575,Midgårdsvägen 46,Haninge,Haning,Lägenhet,Bostadsrätt,3,1,3,No,Yes,77.2,0.0,0.0,1951-2000,5398.0,3000.0,,1.9,-0.05,1.94
576,Eskadervägen 40,NäsbyPark,Täb,Lägenhet,Bostadsrätt,2,1,8,Yes,Yes,58.5,0.0,0.0,1951-2000,3926.0,6360.0,,2.3,0.0,2.3
577,Turbingränd 3,Kallhäll,Järfäll,Lägenhet,Bostadsrätt,2,1,6,Yes,Yes,56.0,0.0,0.0,1951-2000,3891.0,3000.0,,1.8,0.0,1.8
578,Högenvägen 57,Kållered|Livered,Mölndal,Lägenhet,Bostadsrätt,3,2,2,No,Yes,86.0,0.0,0.0,1951-2000,5356.0,9951.0,,2.5,0.0,2.5
579,Midsommarvägen 14,Midsommarkransen,Stockholm,Lägenhet,Bostadsrätt,2,1,3,No,No,37.0,0.0,0.0,1900-1950,2905.0,6360.0,,2.8,0.03,2.77
580,"Långhalsvägen 11, 3tr",Årsta,Stockholm,Lägenhet,Bostadsrätt,3,3,3,No,Yes,55.0,0.0,0.0,2011-present,6600.0,6360.0,,3.18,0.63,2.55
581,Gustav III:s Boulevard 8,Frösunda,Soln,Lägenhet,Bostadsrätt,3,1,0,Yes,Yes,87.6,0.0,0.0,1951-2000,5338.0,8640.0,,4.2,0.34,3.86
582,Bågevägen 29 D,Bosvedjan,Sundsvall,Lägenhet,Bostadsrätt,3,2,2,No,Yes,83.0,0.0,0.0,1951-2000,5436.0,3800.0,,0.75,-0.05,0.8
583,Sysslomansgatan 17A,FrämreLuthagen,Uppsal,Lägenhet,Bostadsrätt,2,3,4,Yes,Yes,71.1,0.0,0.0,2011-present,2594.0,6360.0,,3.5,0.81,2.69
584,Larsgatan 4A,Vellinge,Velling,Lägenhet,Bostadsrätt,1,2,3,No,Yes,39.0,0.0,0.0,1900-1950,2220.0,15300.0,,1.2,-0.02,1.22
585,"Storforsplan 5, 8tr",Farsta,Stockholm,Lägenhet,Bostadsrätt,3,8,14,Yes,Yes,75.0,0.0,0.0,1951-2000,5025.0,7600.0,,2.5,0.01,2.49
586,"Högalidsgatan 34C, Gårdshus",Hornstull,Stockholm,Lägenhet,Andelibostadsförening,4,3,3,No,Yes,93.0,0.0,0.0,1900-1950,5113.0,17103.0,,9.3,2.21,7.09
587,Tegelviksgatan 79,SödermalmSofia,Stockholm,Lägenhet,Bostadsrätt,2,3,0,Yes,Yes,57.0,0.0,0.0,1951-2000,4630.0,3192.0,,4.95,0.9,4.05
588,Bergavägen 70,ÅkersbergaCentralt,Österåker,Lägenhet,Bostadsrätt,4,3,3,Yes,Yes,98.0,0.0,0.0,2001-2010,7063.0,5872.0,,3.7,0.0,3.7
589,Malmbergsvägen 10B,CentralaGällivare,Gällivar,Lägenhet,Bostadsrätt,3,1,3,No,Yes,81.0,0.0,0.0,1951-2000,5720.0,1800.0,,1.3,0.1,1.2
590,Torggatan 11C,Perstorp,Perstorp,Lägenhet,Bostadsrätt,2,3,3,No,No,51.0,0.0,0.0,1900-1950,3878.0,7333.0,,0.23,-0.05,0.28
591,Sköttmors Väg 19 F,Skräddarbacken,Borläng,Lägenhet,Bostadsrätt,4,2,2,No,Yes,102.0,0.0,0.0,1951-2000,5697.0,6360.0,,1.11,-0.03,1.13
592,Köhlerplatsen 4,Ulricehamntätort,Ulricehamn,Lägenhet,Bostadsrätt,1,2,4,No,Yes,40.4,0.0,0.0,1951-2000,3294.0,2820.0,,0.7,-0.02,0.71
593,Humblegatan 35,CentralaSundbyberg(LillaAlby),Sundbyberg,Lägenhet,Bostadsrätt,3,2,3,Yes,Yes,61.0,0.0,0.0,1951-2000,3683.0,6360.0,,3.7,0.36,3.34
594,Skeppargatan 17 B,Strand,Arvik,Lägenhet,Bostadsrätt,2,2,2,No,Yes,64.0,0.0,0.0,1951-2000,4410.0,11000.0,,0.83,-0.04,0.86
595,Långgatan 2,Skurup,Skurup,Lägenhet,Bostadsrätt,2,1,2,No,Yes,53.0,0.0,0.0,1900-1950,4840.0,2200.0,,1.2,0.08,1.12
596,Nybodaringen 107,Liljeholmen/Nybodahöjden,Stockholm,Lägenhet,Bostadsrätt,4,1,4,Yes,Yes,95.0,0.0,0.0,1951-2000,6039.0,29080.0,,6.0,-0.25,6.24
597,Mellangatan 21C,Timrå,Timr,Lägenhet,Bostadsrätt,3,4,4,No,Yes,81.5,0.0,0.0,1951-2000,4353.0,5799.0,,0.85,-0.08,0.93
598,Aktergatan 22,HammarbySjöstad,Stockholm,Lägenhet,Bostadsrätt,2,2,4,Yes,Yes,45.0,0.0,0.0,2001-2010,4126.0,6360.0,,3.8,0.12,3.68
599,"Lidnersgatan 12A, Vån 5 av 6",Kungsholmen,Stockholm,Lägenhet,Bostadsrätt,2,5,6,Yes,No,39.5,0.0,0.0,1900-1950,3364.0,6200.0,,3.0,0.21,2.79
600,Vasagatan 23,Vasastaden,Göteborg,Lägenhet,Bostadsrätt,4,1,5,No,Yes,126.0,0.0,0.0,Before 1900s,4869.0,3500.0,,7.5,0.31,7.19
601,Olivedalsgatan 15A,Linnéstaden,Göteborg,Lägenhet,Bostadsrätt,4,5,5,Yes,Yes,115.0,0.0,0.0,1900-1950,6728.0,5400.0,,7.5,0.0,7.5
602,Häradsgatan 27,Bosgården,Mölndal,Lägenhet,Bostadsrätt,2,3,7,Yes,Yes,61.0,0.0,0.0,1951-2000,4278.0,4851.0,,2.4,-0.15,2.54
603,Södra Hamngatan 5B,Kungshöjd,Göteborg,Lägenhet,Bostadsrätt,1,2,4,Yes,No,35.0,0.0,0.0,Before 1900s,1743.0,6360.0,,3.13,0.25,2.88
604,Rosendalsgatan 1 B Lgh 1201,Forsbacka,Gävl,Lägenhet,Bostadsrätt,2,3,3,No,Yes,54.0,0.0,0.0,2011-present,5064.0,6360.0,,0.55,0.0,0.55
605,Rosenhöjdsvägen 28,Rosenlund,Södertälj,Lägenhet,Bostadsrätt,1,3,6,Yes,Yes,46.0,0.0,0.0,1951-2000,3682.0,5400.0,,1.0,0.02,0.98
606,Bergsgatan 19C,Centrum,Sundsvall,Lägenhet,Bostadsrätt,3,2,7,Yes,Yes,80.4,0.0,0.0,1951-2000,4478.0,3653.0,,1.48,0.29,1.19
607,Lech Walesas gata 49D,Ljusstaden,Kalma,Lägenhet,Bostadsrätt,3,2,2,No,Yes,81.0,0.0,0.0,2011-present,5407.0,2024.0,,1.45,-0.1,1.55
608,Såggatan 50B,Majorna,Göteborg,Lägenhet,Bostadsrätt,1,4,4,No,No,31.0,0.0,0.0,1900-1950,1919.0,4800.0,,2.4,0.05,2.35
609,Korpralsvägen 32B,Teg,Ume,Lägenhet,Bostadsrätt,2,7,8,Yes,Yes,54.0,0.0,0.0,2011-present,3379.0,2288.0,,1.9,0.0,1.9
610,Töpelsgatan 8D,Örgryte,Göteborg,Lägenhet,Bostadsrätt,2,2,3,No,Yes,52.0,0.0,0.0,1900-1950,3383.0,5040.0,,3.28,-0.08,3.36
611,Kasinogatan 1,Lugnet,Malm,Lägenhet,Bostadsrätt,3,3,0,Yes,Yes,75.0,0.0,0.0,1951-2000,6476.0,3756.0,,2.8,0.11,2.69
612,Anders Reimers väg 4,Reimersholme,Stockholm,Lägenhet,Bostadsrätt,2,2,4,No,Yes,44.0,0.0,0.0,1900-1950,3439.0,12240.0,,4.0,0.76,3.24
613,Kågevägen 40E,Alhem,Skellefte,Lägenhet,Bostadsrätt,2,0,0,No,Yes,52.5,0.0,0.0,2011-present,2594.0,6360.0,,1.18,0.4,0.78
614,Skogsbovägen 24,GustavsbergÖsbySjö,Värmd,Lägenhet,Bostadsrätt,2,6,8,Yes,Yes,45.0,0.0,0.0,2011-present,4344.0,4632.0,,3.0,0.16,2.84
615,Karl Dahlins väg 18C,Hentorp,Skövd,Lägenhet,Bostadsrätt,4,1,3,No,Yes,87.0,0.0,0.0,1951-2000,6065.0,4344.0,,1.08,-0.03,1.1
616,Snövägen 166B,Björkskatan,Lule,Lägenhet,Bostadsrätt,3,2,2,No,Yes,75.0,0.0,0.0,1951-2000,4117.0,2928.0,,1.7,-0.05,1.74
617,Skärvstensgatan 24,Mariehöjd,Ume,Lägenhet,Bostadsrätt,3,4,6,Yes,Yes,66.5,0.0,0.0,2011-present,4966.0,6360.0,,2.2,0.15,2.05
618,Runvägen 9A,Berga,Kalma,Lägenhet,Bostadsrätt,3,2,3,No,Yes,65.0,0.0,0.0,1951-2000,4558.0,3215.0,,1.0,-0.05,1.04
619,Grafikvägen 16,Gullmarsplan,Stockholm,Lägenhet,Bostadsrätt,2,3,3,No,Yes,44.0,0.0,0.0,2011-present,8400.0,6360.0,,2.48,0.38,2.1
620,Stormgatan 8,Gränby,Uppsal,Lägenhet,Bostadsrätt,3,3,3,No,Yes,82.5,0.0,0.0,1951-2000,4943.0,6871.0,,2.2,-0.07,2.26
621,Gotlandsgatan 64,SödermalmSofia,Stockholm,Lägenhet,Bostadsrätt,1,3,5,Yes,Yes,41.0,0.0,0.0,1900-1950,2669.0,6360.0,,3.75,0.9,2.85
622,"Erstagatan 23, 1tr",Södermalm/Sofia,Stockholm,Lägenhet,Bostadsrätt,1,1,6,Yes,No,27.2,0.0,0.0,1900-1950,1671.0,4344.0,,2.8,0.21,2.59
623,Stora Brogatan 12A,CentralaNorrtälje,Norrtälj,Lägenhet,Bostadsrätt,1,3,4,Yes,Yes,44.5,0.0,0.0,1900-1950,2175.0,2124.0,,2.0,-0.1,2.09
624,Heidenstams gata 9,HisingsBacka,Göteborg,Lägenhet,Bostadsrätt,3,2,8,Yes,Yes,80.0,0.0,0.0,2011-present,4300.0,6360.0,,1.6,-0.03,1.62
625,Prästgatan 8B,Landskrona,Landskron,Lägenhet,Bostadsrätt,2,3,4,No,Yes,56.0,0.0,0.0,1951-2000,4321.0,4200.0,,1.0,-0.1,1.1
626,Walter Bengtssons Gata 21 - Vån 3 av 3,Majorna,Göteborg,Lägenhet,Bostadsrätt,3,3,3,Yes,Yes,85.0,0.0,0.0,2011-present,5221.0,7280.0,,4.49,0.19,4.3
627,Kristinebergs strand 29,Kristineberg,Stockholm,Lägenhet,Bostadsrätt,2,2,6,Yes,Yes,35.5,0.0,0.0,1951-2000,3205.0,7560.0,,3.95,-0.2,4.15
628,Hällbruksgatan 6,Örnäset,Lule,Lägenhet,Bostadsrätt,2,2,3,No,Yes,56.0,0.0,0.0,1951-2000,3419.0,6360.0,,1.25,0.0,1.25
629,"Sehlstedtsgatan 9, 2 tr",Gärdet,Stockholm,Lägenhet,Bostadsrätt,2,2,5,Yes,Yes,43.0,0.0,0.0,2011-present,2257.0,4800.0,,3.7,0.06,3.64
630,Bjälbogatan 6A,Gottfridsberg,Linköping,Lägenhet,Bostadsrätt,3,1,3,No,Yes,77.0,0.0,0.0,1900-1950,3973.0,3300.0,,2.0,-0.05,2.04
631,Knarrhögsgatan 12B,CentralaMölndal,Mölndal,Lägenhet,Bostadsrätt,2,3,4,No,Yes,59.0,0.0,0.0,1900-1950,4281.0,6345.0,,2.4,0.12,2.28
632,Lotterivägen 8,Hägerstensåsen,Stockholm,Lägenhet,Bostadsrätt,2,2,3,No,Yes,58.0,0.0,0.0,1900-1950,4157.0,6601.0,,2.95,0.35,2.6
633,Cardellgatan 6,Östermalm,Stockholm,Lägenhet,Andelibostadsförening,4,3,4,Yes,Yes,96.0,0.0,0.0,Before 1900s,3314.0,6360.0,,13.95,0.65,13.3
634,"Sorögatan 103, 1 tr",Kista,Stockholm,Lägenhet,Bostadsrätt,3,2,2,No,Yes,79.5,0.0,0.0,1951-2000,5492.0,8400.0,,2.3,0.15,2.15
635,Finnboda Parkväg 2,FinnbodaHamn,Nack,Lägenhet,Bostadsrätt,3,3,6,Yes,Yes,77.0,0.0,0.0,2001-2010,5348.0,4980.0,,5.3,-0.03,5.33
636,Husargatan 10,Haga,Göteborg,Lägenhet,Bostadsrätt,2,4,4,Yes,No,72.4,0.0,0.0,1951-2000,5223.0,8700.0,,4.19,0.21,3.98
637,Fredsgatan 17,CentralaSundbyberg,Sundbyberg,Lägenhet,Bostadsrätt,2,1,4,Yes,No,42.0,0.0,0.0,1900-1950,2967.0,5200.0,,2.65,0.3,2.35
638,"Sandhamnsgatan 13, 5 tr",Gärdet,Stockholm,Lägenhet,Bostadsrätt,3,5,7,Yes,Yes,58.0,0.0,0.0,1900-1950,4570.0,8600.0,,4.5,0.26,4.24
639,Styrbordsgången 4IB,Edvinshem,Ystad,Lägenhet,Bostadsrätt,3,2,2,No,Yes,82.0,0.0,0.0,1951-2000,4215.0,10779.0,,1.75,-0.1,1.85
640,Stadsskogsgatan 46,Stadsskogen,Alingså,Lägenhet,Bostadsrätt,3,2,5,Yes,Yes,76.0,0.0,0.0,2011-present,4083.0,6024.0,,2.85,-0.1,2.95
641,Gustavslundsvägen 155B,Alvik,Stockholm,Lägenhet,Bostadsrätt,4,4,8,Yes,Yes,101.0,0.0,0.0,2011-present,7457.0,7620.0,,8.0,-0.2,8.19
642,"Russinvägen 87, 2tr",Hökarängen,Stockholm,Lägenhet,Bostadsrätt,3,2,0,No,Yes,74.0,0.0,0.0,1951-2000,4827.0,6360.0,,3.2,0.41,2.79
643,Portalgatan 4B,Kapellgärdet,Uppsal,Lägenhet,Bostadsrätt,4,2,4,Yes,Yes,100.0,0.0,0.0,2001-2010,6316.0,4800.0,,3.6,0.11,3.49
644,Barkarbyvägen 66,Barkarbystaden,Järfäll,Lägenhet,Bostadsrätt,2,2,6,Yes,Yes,49.0,0.0,0.0,2011-present,3789.0,6360.0,,2.08,-0.16,2.24
645,Solbergavägen 37,Isaksdal,Nyköping,Lägenhet,Bostadsrätt,3,2,3,No,Yes,81.0,0.0,0.0,1951-2000,5508.0,5640.0,,1.3,0.0,1.3
646,Ågatan 24,CentralaSundbyberg,Sundbyberg,Lägenhet,Bostadsrätt,2,7,8,Yes,Yes,59.0,0.0,0.0,1951-2000,3332.0,6360.0,,4.4,0.33,4.07
647,Sandfjärdsgatan 33,Årsta,Stockholm,Lägenhet,Bostadsrätt,3,4,12,Yes,Yes,71.5,0.0,0.0,1951-2000,4779.0,3876.0,,3.5,0.25,3.25
648,Rubingatan 43,Tynnered,Göteborg,Lägenhet,Bostadsrätt,5,2,3,No,Yes,122.5,0.0,0.0,1951-2000,7565.0,6360.0,,3.5,-0.15,3.64
649,Prinsgatan 23,NyaStan,Karlshamn,Lägenhet,Bostadsrätt,3,3,3,No,Yes,80.0,0.0,0.0,1951-2000,3776.0,3264.0,,1.35,0.07,1.29
